owner,issues
pytorch,118
cockroachdb,69
apache,37
microsoft,33
zephyrproject-rtos,28
scylladb,27
elastic,26
huggingface,23
pingcap,20
dotnet,20
kubernetes,18
tenstorrent,14
ClickHouse,13
2mawi2,12
typescript-eslint,11
flutter,11
scipy,10
vitest-dev,10
redpanda-data,10
rust-lang,10
foundry-rs,10
equinor,8
nodejs,8
hiero-ledger,8
bdougie,8
intel,8
ergebnis,7
containers,7
aeon-toolkit,7
kubernetes-sigs,7
wazuh,7
mozilla,7
nunit,7
godotengine,7
HypothesisWorks,7
rapidsai,7
bitcoin,7
pytest-dev,6
woocommerce,6
CleverRaven,6
nv-morpheus,6
mui,6
brave,6
opensafely-core,6
dbt-labs,6
UpMortem,6
open-telemetry,6
oxidecomputer,5
schemathesis,5
google,5
idaholab,5
r-lib,5
IBM,5
servo,5
grafana,5
EspressoSystems,5
camunda,5
ChainSafe,5
connext,5
exasol,5
nextcloud,5
WordPress,5
python,5
systemd,5
pulumi,4
cartesi,4
status-im,4
cilium,4
ibis-project,4
kesslerio,4
gammasim,4
sympy,4
tikv,4
quantumlib,4
project-chip,4
cypress-io,4
beeware,4
kotest,4
OpenLiberty,4
ray-project,4
astral-sh,4
murex,4
enso-org,4
Automattic,4
hashicorp,4
etylizer,4
AntelopeIO,4
facebookincubator,4
winglang,4
sktime,4
golang,4
astropy,4
keycloak,4
certego,4
ZcashFoundation,4
electron,4
getsentry,4
numpy,4
pola-rs,4
oven-sh,4
GCTC-NTGC,4
Qiskit,4
MetaMask,4
grpc,4
gchq,4
eclipse-platform,3
teemtee,3
NOAA-EMC,3
Shopify,3
0xSpaceShard,3
lowRISC,3
fractal-analytics-platform,3
dart-lang,3
aws,3
pyccel,3
influxdata,3
com-lihaoyi,3
mxsm,3
NixOS,3
Lightning-AI,3
pandas-dev,3
DataDog,3
0xMiden,3
zeek,3
quarkusio,3
StackExchange,3
Mbed-TLS,3
python-trio,3
solana-labs,3
bevyengine,3
deepset-ai,3
DiamondLightSource,3
kiwix,3
brainglobe,3
chainwayxyz,3
ansys,3
duckdb,3
trinodb,3
helidon-io,3
mskelton,3
denoland,3
curl,3
Project-MONAI,3
Deltares,3
oxc-project,3
Scille,3
cosmos,3
FuelLabs,3
terrapower,3
dask,3
loculus-project,3
bluesky,3
canonical,3
chatmail,3
PolicyEngine,3
seleniumbase,3
narwhals-dev,3
metabase,3
Consensys,3
mlcommons,3
Agoric,3
ziglang,3
NVIDIA,3
ansible,3
tgstation,3
gpuweb,3
pymc-labs,3
openssl,3
jhipster,3
napari,3
neondatabase,3
AztecProtocol,3
OpenRailAssociation,3
appsmithorg,3
p4lang,2
zio,2
sagemath,2
CWorthy-ocean,2
Dart-Code,2
Lombiq,2
adobe,2
Embucket,2
trpc,2
iterative,2
eclipse-openj9,2
argoproj,2
express-rate-limit,2
kkrt-labs,2
pwndbg,2
KhronosGroup,2
magic-wormhole,2
Aiven-Open,2
open-zaak,2
etcd-io,2
typelevel,2
ember-cli,2
OpenFn,2
category-labs,2
openlibhums,2
sphinx-doc,2
envoyproxy,2
mikro-orm,2
jasmine,2
redis,2
pyroteus,2
hackforla,2
ultralytics,2
esphome,2
go-gitea,2
iree-org,2
bitcoindevkit,2
cloudflare,2
realm,2
GitoxideLabs,2
xline-kv,2
MaibornWolff,2
hrydgard,2
MESMER-group,2
tutao,2
conan-io,2
swarm-game,2
rails,2
heroku,2
kuzudb,2
fraunhoferhhi,2
letsencrypt,2
oceanprotocol,2
man-group,2
lightningdevkit,2
nuxt,2
defold,2
yogstation13,2
getkirby,2
kata-containers,2
DataBiosphere,2
iTwin,2
rooch-network,2
RPCS3,2
ava-labs,2
PrefectHQ,2
rathena,2
PCSX2,2
bazel-contrib,2
sillsdev,2
johnkary,2
SuffolkLITLab,2
Tribler,2
cataclysmbnteam,2
carbon-design-system,2
Rdatatable,2
flux-framework,2
bazelbuild,2
FerretDB,2
python-pillow,2
selenide,2
hazelcast,2
spinalcordtoolbox,2
kroxylicious,2
pybamm-team,2
voedger,2
JuliaLang,2
dlt-hub,2
jestjs,2
Witiko,2
hplush,2
airbytehq,2
input-output-hk,2
qiboteam,2
NOAA-OWP,2
furrer-lab,2
scalameta,2
musescore,2
Azure,2
mindspore-lab,2
rectorphp,2
fityannugroho,2
Kotlin,2
arduino,2
pymodbus-dev,2
getkyo,2
block,2
csarofeen,2
WebAssembly,2
pymc-devs,2
mandiant,2
spacemeshos,2
conda,2
risingwavelabs,2
open-formulieren,2
saltstack,2
commaai,2
clj-commons,2
Granola-Team,2
mozilla-mobile,2
ai-on-browser,2
xcube-dev,2
RamenDR,2
sourcefrog,2
Kareadita,2
infinitest,2
npm,2
jsdom,2
cucapra,2
Shelf-nu,2
deephaven,2
KStocky,2
socketry,2
ni,2
treeverse,2
msupply-foundation,2
SORMAS-Foundation,2
valkey-io,2
PrunaAI,2
psycopg,2
nuts-foundation,2
near,2
gear-tech,2
opendp,2
digitalfabrik,2
mercedes-benz,2
antiwork,2
turbot,2
kamping-site,2
libsdl-org,2
lambdaclass,2
JohnnyIrvin,2
baleen37,2
storybookjs,2
bUnit-dev,2
scikit-hep,2
apstndb,2
PlasmaPy,2
bytecodealliance,2
pyca,2
apecloud,2
jim60105,2
ipfs,2
visualize-admin,2
lamps-wg,2
Clinical-Genomics,2
OpenFreeEnergy,2
skupperproject,2
py-pdf,2
SWE-agent,2
junit-team,2
faker-js,2
getodk,2
ngrx,2
NRLMMD-GEOIPS,2
modelcontextprotocol,2
tailwindlabs,2
qkniep,2
ArneBinder,2
gyrinx-app,2
openemr,2
stellar,2
APSIMInitiative,2
redwoodjs,2
Comfy-Org,2
AI4quantum,2
TestCentric,2
GreptimeTeam,2
PaperMC,1
GoogleCloudPlatform,1
vocodedev,1
openpubkey,1
numba,1
go-gorm,1
bokeh,1
pnpm,1
Basiiii,1
spdx,1
protocolbuffers,1
hugsy,1
tailcallhq,1
pydantic,1
silx-kit,1
aeye-lab,1
jruby,1
OpenNMT,1
guardicore,1
App-vNext,1
scikit-learn,1
firewalld,1
fastn-stack,1
aspect-build,1
aristanetworks,1
oceanmodeling,1
optuna,1
NCIOCPL,1
TanStack,1
jj-vcs,1
home-assistant,1
aleaxit,1
mitogen-hq,1
zooniverse,1
opencollective,1
cellcanvas,1
nats-io,1
IslandSQL,1
srl-labs,1
lite-xl,1
dandi,1
Niels-IO,1
lobehub,1
IATI,1
graphile,1
data-apis,1
coiled,1
hpc,1
davidjerleke,1
rotki,1
jest-community,1
op-rs,1
deforum,1
ui5-community,1
eclipse-rdf4j,1
opfab,1
Sequel-Ace,1
aiidateam,1
stoneatom,1
paradedb,1
sorry-cypress,1
EnricoMi,1
yoshuawuyts,1
PolyMeilex,1
rancher-sandbox,1
FyroxEngine,1
honojs,1
tatsu-lab,1
spiral-project,1
arup-group,1
hypothesis,1
PRQL,1
openrocket,1
luanti-org,1
SINTEF,1
learningequality,1
BOINC,1
chrisguidry,1
apollographql,1
architect,1
lingui,1
vocdoni,1
jetty,1
zhaoshenzhai,1
ggml-org,1
rq,1
serenity-rs,1
IQSS,1
argotorg,1
leancodepl,1
cxcsds,1
glotzerlab,1
JeringTech,1
motdotla,1
zaproxy,1
dtscalibration,1
libAtoms,1
smol-rs,1
streamlit,1
lydavid,1
termux,1
cp2k,1
gregnavis,1
paradigmxyz,1
stonith404,1
JuliaCon,1
HobnobMancer,1
backstage,1
eclipse-m2e,1
qbittorrent,1
OpenTracksApp,1
scverse,1
dmitry-brazhenko,1
penumbra-zone,1
gogf,1
jbrumwell,1
trezor,1
tobymao,1
pnkraemer,1
ppy,1
freeorion,1
AhmedLSayed9,1
lhackel-tub,1
UniversalRobots,1
virtualcell,1
chaiNNer-org,1
agronholm,1
dynamicslab,1
tailscale-dev,1
Galileo-Galilei,1
fvtt-fria-ligan,1
codeforpdx,1
DLR-RM,1
islet-project,1
Accenture,1
rusterlium,1
aptabase,1
OndrejSladky,1
munichbughunter,1
Furglitch,1
Luthaf,1
cscorley,1
sunpy,1
nrwl,1
Akuli,1
rmosolgo,1
spockframework,1
bacalhau-project,1
TUM-Dev,1
mantidproject,1
kedacore,1
lycheeverse,1
image-rs,1
upspin,1
GoogleContainerTools,1
explodinggradients,1
npgsql,1
kif-framework,1
artem-ogre,1
hedgehogqa,1
Expensify,1
netdata,1
elementor,1
vitessio,1
oppia,1
fpagliughi,1
vv9k,1
coreylowman,1
super-linter,1
shaka-project,1
kubevirt,1
usi-verification-and-security,1
phiresky,1
xbmc,1
tari-project,1
nilearn,1
conda-incubator,1
sablier-labs,1
flowr-analysis,1
Waujito,1
CosmWasm,1
rarelysimple,1
martinpitt,1
henniaufmrenni,1
kartoza,1
DNSSEC-Provisioning,1
qgis,1
open-reaction-database,1
eiffel-community,1
Marker-Inc-Korea,1
SyneRBI,1
firezone,1
ponder-sh,1
spacetelescope,1
privacy-ethereum,1
taranis-ai,1
LPSim,1
arkworks-rs,1
Volumetrics-io,1
modin-project,1
organicmaps,1
Orange-OpenSource,1
baking-bad,1
adventuregamestudio,1
django-components,1
jasp-stats,1
gpbl,1
alchemistry,1
devashishdxt,1
SwiftPackageIndex,1
eclipse-iceoryx,1
django,1
TPC-Council,1
cfpb,1
SimVascular,1
TiddlyWiki,1
vgstation-coders,1
UltimateHackingKeyboard,1
kubearmor,1
Navideck,1
wouterpeere,1
quaquel,1
sandialabs,1
nicoespeon,1
stryker-mutator,1
sile-typesetter,1
LLNL,1
ElementsProject,1
opencv,1
minio,1
cloudquery,1
chipsalliance,1
wmbusmeters,1
process-analytics,1
betaflight,1
capricorn86,1
kube-rs,1
typesafegithub,1
mcdougallab,1
asynkron,1
OpenCTI-Platform,1
epi052,1
The-Commit-Company,1
oasisprotocol,1
musikinformatik,1
explosion,1
pester,1
a16z,1
OCamlPro,1
gardener,1
BlenderKit,1
CliMA,1
neuroinformatics-unit,1
boltlabs-inc,1
infinyon,1
JuliaGPU,1
logos-co,1
OpenMathLib,1
pharo-project,1
SeleniumHQ,1
ngtcp2,1
prisma,1
PingCAP-QE,1
AlignmentResearch,1
czbiohub-sf,1
alttester,1
DelSkayn,1
th3cyb3rhub,1
neuralmagic,1
JupiterBroadcasting,1
nim-lang,1
TTLApp,1
kubeshop,1
ppdebreuck,1
gruntwork-io,1
matrix-org,1
rehearsal-js,1
decentraland,1
whatshap,1
stripe,1
