version,run_number,energibridge_time_sec
before,1,2.2049758
before,2,1.804178
before,3,1.6031142
before,4,1.6029934
before,5,1.6035936
before,6,1.6032023
before,7,1.6052746
before,8,1.6071206
before,9,1.6033099
before,10,1.6032689
before,11,1.6036457
before,12,1.6032529
before,13,1.6020365
before,14,1.6032389
before,15,1.6031992
before,16,1.6023672
before,17,1.6036465
before,18,1.4034395
before,19,1.6056609
before,20,1.6036348
before,21,1.6033888
before,22,1.6073724
before,23,1.6030828
before,24,1.404608
before,25,1.6041088
before,26,1.403274
before,27,1.6038964
before,28,1.6066753
before,29,1.6041315
before,30,1.6035249
before,31,1.6061709
before,32,1.6024277
before,33,1.6057506
before,34,1.603334
before,35,1.406901
before,36,1.6032765
before,37,1.40632
before,38,1.6037185
before,39,1.6039755
before,40,1.6048038
after_careful_mock,1,1.6032608
after_careful_mock,2,1.4028676
after_careful_mock,3,1.4051931
after_careful_mock,4,1.403078
after_careful_mock,5,1.4041008
after_careful_mock,6,1.4060457
after_careful_mock,7,1.4045166
after_careful_mock,8,1.4034896
after_careful_mock,9,1.4051704
after_careful_mock,10,1.4032011
after_careful_mock,11,1.4039254
after_careful_mock,12,1.4030418
after_careful_mock,13,1.4029682
after_careful_mock,14,1.4033418
after_careful_mock,15,1.403413
after_careful_mock,16,1.4031708
after_careful_mock,17,1.4025152
after_careful_mock,18,1.404948
after_careful_mock,19,1.4030588
after_careful_mock,20,1.4036123
after_careful_mock,21,1.40324
after_careful_mock,22,1.4036044
after_careful_mock,23,1.4028263
after_careful_mock,24,1.4031575
after_careful_mock,25,1.4035985
after_careful_mock,26,1.4034903
after_careful_mock,27,1.4056954
after_careful_mock,28,1.4030561
after_careful_mock,29,1.4031918
after_careful_mock,30,1.4053676
after_careful_mock,31,1.4022782
after_careful_mock,32,1.4034643
after_careful_mock,33,1.4039068
after_careful_mock,34,1.4032755
after_careful_mock,35,1.4031088
after_careful_mock,36,1.4041361
after_careful_mock,37,1.4034172
after_careful_mock,38,1.4034265
after_careful_mock,39,1.4035771
after_careful_mock,40,1.4065845
