version,run_number,energibridge_time_sec
before,1,3.2041762
before,2,3.0051863
before,3,3.0047488
before,4,3.2044854
before,5,3.6034882
before,6,3.0046146
before,7,3.0041595
before,8,3.0044868
before,9,3.0046763
before,10,3.0054028
before,11,3.004074
before,12,3.0045266
before,13,3.2045157
before,14,3.0049598
before,15,3.0056052
before,16,3.0047302
before,17,3.0047274
before,18,3.0048268
before,19,3.0041735
before,20,3.0045664
before,21,3.0034873
before,22,3.2046356
before,23,3.0043473
before,24,3.0052106
before,25,3.0047286
before,26,3.004114
before,27,3.0044124
before,28,3.0038908
before,29,3.0045772
before,30,3.0047946
before,31,3.0046964
before,32,3.204325
before,33,3.0040653
before,34,3.0041287
before,35,3.0049438
before,36,3.0049913
before,37,3.0047095
before,38,3.0048053
before,39,3.0041277
before,40,3.0049574
after,1,3.00431
after,2,3.0044286
after,3,3.0045683
after,4,3.2041311
after,5,3.6036444
after,6,3.0042918
after,7,3.0046883
after,8,3.0051594
after,9,3.004734
after,10,3.004227
after,11,3.0050392
after,12,3.004016
after,13,3.2046757
after,14,3.2046638
after,15,3.0044014
after,16,3.0040193
after,17,3.0041645
after,18,3.0046995
after,19,3.0049882
after,20,3.0048542
after,21,3.0046833
after,22,3.2040937
after,23,3.0047843
after,24,3.0048249
after,25,3.004586
after,26,3.004369
after,27,7.0110426
after,28,3.0040631
after,29,3.0042543
after,30,3.2040854
after,31,3.004339
after,32,3.004563
after,33,3.005149
after,34,3.0068936
after,35,3.0043728
after,36,3.0045943
after,37,3.0042663
after,38,3.0040843
after,39,3.003253
after,40,3.0046782
