version,run_number,energibridge_time_sec
before,2,661.933
before,3,669.1541
before,4,678.1527
before,5,649.74
before,6,663.14404
before,8,654.13965
before,9,655.94556
before,10,656.14703
before,11,648.3325
before,12,658.53503
before,14,651.3277
before,15,664.346
before,16,664.9382
before,17,676.7376
before,18,651.74207
before,20,680.7615
before,21,681.36456
before,22,673.359
before,23,683.1446
before,24,666.33844
before,26,663.3536
before,27,675.9548
before,28,655.73956
before,29,657.7439
before,31,676.3496
before,32,654.1432
before,33,672.14716
before,34,678.3442
before,35,684.95154
before,37,680.7582
before,38,660.5429
before,39,656.1334
before,40,669.14343
after,1,36.663162
after,2,34.458374
after,3,34.65684
after,4,36.4598
after,5,35.045593
after,6,35.46471
after,7,34.651123
after,8,35.459347
after,9,35.853386
after,10,34.254288
after,11,34.454697
after,12,34.649548
after,13,34.649216
after,14,34.855938
after,15,35.06068
after,16,34.45849
after,17,35.061028
after,18,34.646935
after,19,34.254776
after,20,34.25
after,21,34.453865
after,22,35.26185
after,23,34.66338
after,24,34.653694
after,25,36.46774
after,27,34.4523
after,28,34.258133
after,29,35.052773
after,30,34.456112
after,31,38.667267
after,32,34.851925
after,33,35.25227
after,34,34.8587
after,35,34.256344
after,36,34.467556
after,37,35.863503
after,38,34.253883
after,39,34.256275
after,40,34.854645
