version,run_number,test_name,test_path,phase,duration_sec,total_test_time
before,1,test_hma_0_1_child[1000],tests/integration/multi_table/test_hma.py::test_hma_0_1_child[1000],call,14.67,82.14
before,1,test_disjointed_tables,tests/integration/multi_table/test_hma.py::test_disjointed_tables,call,12.35,82.14
before,1,test_synthesize_multiple_tables_using_hma,tests/integration/multi_table/test_hma.py::TestHMASynthesizer::test_synthesize_multiple_tables_using_hma,call,8.76,82.14
before,1,test_hma_relationship_validity,tests/integration/multi_table/test_hma.py::test_hma_relationship_validity,call,4.63,82.14
before,1,test_hma_numerical_distributions,tests/integration/multi_table/test_hma.py::TestHMASynthesizer::test_hma_numerical_distributions,call,3.91,82.14
before,1,test_use_own_data_using_hma,tests/integration/multi_table/test_hma.py::TestHMASynthesizer::test_use_own_data_using_hma,call,3.67,82.14
before,1,test_small_sample,tests/integration/multi_table/test_hma.py::test_small_sample,call,3.19,82.14
before,1,test_fit_and_sample_numerical_col_names,tests/integration/multi_table/test_hma.py::test_fit_and_sample_numerical_col_names,call,3.13,82.14
before,1,test_get_learned_distributions_error_msg,tests/integration/multi_table/test_hma.py::TestHMASynthesizer::test_get_learned_distributions_error_msg,call,3.11,82.14
before,1,test__estimate_num_columns_to_be_modeled_various_sdtypes,tests/unit/multi_table/test_hma.py::TestHMASynthesizer::test__estimate_num_columns_to_be_modeled_various_sdtypes,call,2.14,82.14
before,1,test_hma,tests/integration/multi_table/test_hma.py::TestHMASynthesizer::test_hma,call,1.47,82.14
before,1,test_hma_reset_sampling,tests/integration/multi_table/test_hma.py::TestHMASynthesizer::test_hma_reset_sampling,call,1.46,82.14
before,1,test__get_likelihoods,tests/integration/multi_table/test_hma.py::TestHMASynthesizer::test__get_likelihoods,call,1.45,82.14
before,1,test_warning_message_too_many_cols,tests/integration/multi_table/test_hma.py::TestHMASynthesizer::test_warning_message_too_many_cols,call,1.13,82.14
before,1,test_progress_bar_print,tests/integration/multi_table/test_hma.py::TestHMASynthesizer::test_progress_bar_print,call,1.13,82.14
before,1,test_metadata_updated_no_warning,tests/integration/multi_table/test_hma.py::TestHMASynthesizer::test_metadata_updated_no_warning,call,1.04,82.14
before,1,test_metadata_updated_warning_detect,tests/integration/multi_table/test_hma.py::TestHMASynthesizer::test_metadata_updated_warning_detect,call,1.03,82.14
before,1,test_fit_processed_multiple_calls,tests/integration/multi_table/test_hma.py::TestHMASynthesizer::test_fit_processed_multiple_calls,call,0.85,82.14
before,1,test__estimate_num_columns_to_be_modeled_different_distributions,tests/unit/multi_table/test_hma.py::TestHMASynthesizer::test__estimate_num_columns_to_be_modeled_different_distributions,call,0.8,82.14
before,1,test_hma_not_fit_raises_sampling_error,tests/integration/multi_table/test_hma.py::test_hma_not_fit_raises_sampling_error,call,0.7,82.14
before,1,test_hma_two_lineages_one_grandchild,tests/integration/multi_table/test_hma.py::TestHMASynthesizer::test_hma_two_lineages_one_grandchild,call,0.7,82.14
before,1,test_hma_with_inequality_constraint,tests/integration/multi_table/test_hma.py::TestHMASynthesizer::test_hma_with_inequality_constraint,call,0.68,82.14
before,1,test_hma_custom_constraint_2_tables,tests/integration/multi_table/test_hma.py::TestHMASynthesizer::test_hma_custom_constraint_2_tables,call,0.65,82.14
before,1,test_hma_custom_constraint,tests/integration/multi_table/test_hma.py::TestHMASynthesizer::test_hma_custom_constraint,call,0.64,82.14
