version,run_number,energibridge_time_sec
before,1,194.30049
before,2,195.09703
before,3,194.50108
before,4,195.09563
before,5,193.4993
before,6,194.6948
before,7,195.89877
before,8,195.89854
before,9,195.4979
before,10,194.49777
before,11,196.10056
before,12,194.49954
before,13,194.69856
before,14,195.89876
before,15,195.49579
before,17,196.29745
before,18,195.29724
before,19,195.49646
before,20,194.29927
before,21,193.29788
before,22,194.8976
before,23,195.10182
before,24,194.29901
before,25,194.89706
before,26,195.10007
before,27,195.6974
before,28,193.69995
before,29,194.49849
before,30,195.10059
before,31,194.7012
before,32,195.29634
before,33,195.89676
before,34,194.69746
before,35,195.10196
before,37,195.901
before,38,196.90245
before,39,195.703
before,40,194.30226
after,1,80.041824
after,2,79.44332
after,3,79.44346
after,4,79.44113
after,5,79.442566
after,6,79.643654
after,7,79.44391
after,8,79.24208
after,9,79.64264
after,10,79.24549
after,11,79.64208
after,12,79.64147
after,13,79.84306
after,14,79.64498
after,15,79.442795
after,16,79.24113
after,17,79.64402
after,18,80.24332
after,19,79.241425
after,20,79.64055
after,21,80.04116
after,22,79.64488
after,23,79.24151
after,24,79.442986
after,25,79.64157
after,26,79.8406
after,27,80.24143
after,28,79.44134
after,29,79.04382
after,30,79.44146
after,31,79.44123
after,32,79.64401
after,33,79.84077
after,34,79.24466
after,35,79.64151
after,36,79.24276
after,37,79.446335
after,39,79.440056
after,40,79.63994
