version,run_number,test_name,test_path,phase,duration_sec,total_test_time
before,1,test_expid[success],test/unit/test_expid.py::test_expid[success],call,10.08,12.26
before,1,test_expid[success],test/unit/test_expid.py::test_expid[success],setup,0.01,12.26
before,1,test_expid[fail],test/unit/test_expid.py::test_expid[fail],setup,0.01,12.26
before,2,test_expid[success],test/unit/test_expid.py::test_expid[success],call,10.07,12.25
before,3,test_expid[success],test/unit/test_expid.py::test_expid[success],call,10.08,12.26
before,4,test_expid[success],test/unit/test_expid.py::test_expid[success],call,10.08,12.24
before,5,test_expid[success],test/unit/test_expid.py::test_expid[success],call,10.08,12.26
before,6,test_expid[success],test/unit/test_expid.py::test_expid[success],call,10.08,12.28
before,7,test_expid[success],test/unit/test_expid.py::test_expid[success],call,10.08,12.25
before,8,test_expid[success],test/unit/test_expid.py::test_expid[success],call,10.08,12.25
before,9,test_expid[success],test/unit/test_expid.py::test_expid[success],call,10.08,12.26
before,10,test_expid[success],test/unit/test_expid.py::test_expid[success],call,10.08,12.28
before,11,test_expid[success],test/unit/test_expid.py::test_expid[success],call,10.08,12.24
before,12,test_expid[success],test/unit/test_expid.py::test_expid[success],call,10.09,12.25
before,12,test_expid[success],test/unit/test_expid.py::test_expid[success],setup,0.01,12.25
before,12,test_expid[fail],test/unit/test_expid.py::test_expid[fail],setup,0.01,12.25
before,13,test_expid[success],test/unit/test_expid.py::test_expid[success],call,10.08,12.24
before,14,test_expid[success],test/unit/test_expid.py::test_expid[success],call,10.08,12.27
before,15,test_expid[success],test/unit/test_expid.py::test_expid[success],call,10.08,12.23
before,15,test_expid[success],test/unit/test_expid.py::test_expid[success],setup,0.01,12.23
before,16,test_expid[success],test/unit/test_expid.py::test_expid[success],call,10.08,12.24
before,16,test_expid[fail],test/unit/test_expid.py::test_expid[fail],setup,0.01,12.24
before,17,test_expid[success],test/unit/test_expid.py::test_expid[success],call,10.08,12.22
before,17,test_expid[fail],test/unit/test_expid.py::test_expid[fail],setup,0.01,12.22
before,18,test_expid[success],test/unit/test_expid.py::test_expid[success],call,10.08,12.24
before,19,test_expid[success],test/unit/test_expid.py::test_expid[success],call,10.08,12.25
before,19,test_expid[fail],test/unit/test_expid.py::test_expid[fail],setup,0.01,12.25
before,20,test_expid[success],test/unit/test_expid.py::test_expid[success],call,10.08,12.26
before,20,test_expid[fail],test/unit/test_expid.py::test_expid[fail],setup,0.01,12.26
before,21,test_expid[success],test/unit/test_expid.py::test_expid[success],call,10.08,12.24
before,22,test_expid[success],test/unit/test_expid.py::test_expid[success],call,10.08,12.24
before,23,test_expid[success],test/unit/test_expid.py::test_expid[success],call,10.08,12.25
before,23,test_expid[success],test/unit/test_expid.py::test_expid[success],setup,0.01,12.25
before,24,test_expid[success],test/unit/test_expid.py::test_expid[success],call,10.08,12.24
before,25,test_expid[success],test/unit/test_expid.py::test_expid[success],call,10.08,12.24
before,26,test_expid[success],test/unit/test_expid.py::test_expid[success],call,10.13,12.34
before,27,test_expid[success],test/unit/test_expid.py::test_expid[success],call,10.08,12.29
before,27,test_expid[success],test/unit/test_expid.py::test_expid[success],setup,0.01,12.29
before,28,test_expid[success],test/unit/test_expid.py::test_expid[success],call,10.08,12.22
before,28,test_expid[success],test/unit/test_expid.py::test_expid[success],setup,0.01,12.22
before,29,test_expid[success],test/unit/test_expid.py::test_expid[success],call,10.08,12.27
before,30,test_expid[success],test/unit/test_expid.py::test_expid[success],call,10.09,12.28
before,30,test_expid[fail],test/unit/test_expid.py::test_expid[fail],setup,0.01,12.28
before,31,test_expid[success],test/unit/test_expid.py::test_expid[success],call,10.08,12.26
before,32,test_expid[success],test/unit/test_expid.py::test_expid[success],call,10.08,12.23
before,33,test_expid[success],test/unit/test_expid.py::test_expid[success],call,10.08,12.23
before,34,test_expid[success],test/unit/test_expid.py::test_expid[success],call,10.09,12.23
before,34,test_expid[success],test/unit/test_expid.py::test_expid[success],setup,0.01,12.23
before,35,test_expid[success],test/unit/test_expid.py::test_expid[success],call,10.08,12.24
before,35,test_expid[fail],test/unit/test_expid.py::test_expid[fail],setup,0.01,12.24
before,36,test_expid[success],test/unit/test_expid.py::test_expid[success],call,10.07,12.22
before,37,test_expid[success],test/unit/test_expid.py::test_expid[success],call,10.08,12.28
before,38,test_expid[success],test/unit/test_expid.py::test_expid[success],call,10.08,12.24
before,38,test_expid[success],test/unit/test_expid.py::test_expid[success],setup,0.01,12.24
before,39,test_expid[success],test/unit/test_expid.py::test_expid[success],call,10.13,12.29
before,40,test_expid[success],test/unit/test_expid.py::test_expid[success],call,10.07,12.21
after,1,test_expid[success],test/unit/test_expid.py::test_expid[success],call,1.07,3.18
after,2,test_expid[success],test/unit/test_expid.py::test_expid[success],call,1.08,3.19
after,2,test_expid[fail],test/unit/test_expid.py::test_expid[fail],setup,0.01,3.19
after,3,test_expid[success],test/unit/test_expid.py::test_expid[success],call,1.07,3.21
after,3,test_expid[fail],test/unit/test_expid.py::test_expid[fail],setup,0.01,3.21
after,4,test_expid[success],test/unit/test_expid.py::test_expid[success],call,1.08,3.22
after,4,test_expid[success],test/unit/test_expid.py::test_expid[success],setup,0.01,3.22
after,5,test_expid[success],test/unit/test_expid.py::test_expid[success],call,1.08,3.19
after,6,test_expid[success],test/unit/test_expid.py::test_expid[success],call,1.07,3.18
after,7,test_expid[success],test/unit/test_expid.py::test_expid[success],call,1.08,3.21
after,8,test_expid[success],test/unit/test_expid.py::test_expid[success],call,1.07,3.17
after,8,test_expid[fail],test/unit/test_expid.py::test_expid[fail],setup,0.01,3.17
after,8,test_expid[success],test/unit/test_expid.py::test_expid[success],setup,0.01,3.17
after,9,test_expid[success],test/unit/test_expid.py::test_expid[success],call,1.07,3.18
after,9,test_expid[success],test/unit/test_expid.py::test_expid[success],setup,0.01,3.18
after,10,test_expid[success],test/unit/test_expid.py::test_expid[success],call,1.07,3.2
after,10,test_expid[fail],test/unit/test_expid.py::test_expid[fail],setup,0.01,3.2
after,11,test_expid[success],test/unit/test_expid.py::test_expid[success],call,1.07,3.21
after,11,test_expid[success],test/unit/test_expid.py::test_expid[success],setup,0.01,3.21
after,12,test_expid[success],test/unit/test_expid.py::test_expid[success],call,1.07,3.19
after,12,test_expid[fail],test/unit/test_expid.py::test_expid[fail],setup,0.01,3.19
after,13,test_expid[success],test/unit/test_expid.py::test_expid[success],call,1.12,3.28
after,14,test_expid[success],test/unit/test_expid.py::test_expid[success],call,1.12,3.24
after,15,test_expid[success],test/unit/test_expid.py::test_expid[success],call,1.07,3.22
after,15,test_expid[success],test/unit/test_expid.py::test_expid[success],setup,0.01,3.22
after,16,test_expid[success],test/unit/test_expid.py::test_expid[success],call,1.12,3.24
after,16,test_expid[fail],test/unit/test_expid.py::test_expid[fail],setup,0.01,3.24
after,17,test_expid[success],test/unit/test_expid.py::test_expid[success],call,1.07,3.18
after,17,test_expid[success],test/unit/test_expid.py::test_expid[success],setup,0.01,3.18
after,18,test_expid[success],test/unit/test_expid.py::test_expid[success],call,1.07,3.17
after,19,test_expid[success],test/unit/test_expid.py::test_expid[success],call,1.08,3.21
after,19,test_expid[success],test/unit/test_expid.py::test_expid[success],setup,0.01,3.21
after,19,test_expid[fail],test/unit/test_expid.py::test_expid[fail],setup,0.01,3.21
after,20,test_expid[success],test/unit/test_expid.py::test_expid[success],call,1.07,3.21
after,20,test_expid[success],test/unit/test_expid.py::test_expid[success],setup,0.01,3.21
after,20,test_expid[fail],test/unit/test_expid.py::test_expid[fail],setup,0.01,3.21
after,21,test_expid[success],test/unit/test_expid.py::test_expid[success],call,1.07,3.19
after,22,test_expid[success],test/unit/test_expid.py::test_expid[success],call,1.08,3.21
after,22,test_expid[success],test/unit/test_expid.py::test_expid[success],setup,0.01,3.21
after,23,test_expid[success],test/unit/test_expid.py::test_expid[success],call,1.08,3.19
after,23,test_expid[success],test/unit/test_expid.py::test_expid[success],setup,0.01,3.19
