version,run_number,energibridge_time_sec
before,1,13.628701
before,2,13.631393
before,3,13.629043
before,4,13.630532
before,5,13.631928
before,6,13.630248
before,7,13.628773
before,8,13.630452
before,9,13.62845
before,10,13.627242
before,11,13.628988
before,12,13.630236
before,13,13.630491
before,14,13.630431
before,15,13.630017
before,16,13.629302
before,17,13.629463
before,18,13.628903
before,19,13.629957
before,20,13.628708
before,21,13.628829
before,22,13.629471
before,23,13.62871
before,24,13.62909
before,25,13.630167
before,26,13.628357
before,27,13.626757
before,28,13.629299
before,29,13.627939
before,30,13.629073
before,31,13.630966
before,32,13.6263485
before,33,13.630177
before,34,13.630257
before,35,13.631077
before,36,13.629488
before,37,13.631331
before,38,13.626684
before,39,13.6292715
before,40,13.628105
after,1,4.6066318
after,2,4.605583
after,3,4.6068068
after,4,4.607848
after,5,4.6062937
after,6,4.6067014
after,7,4.607907
after,8,4.406725
after,9,4.6070585
after,10,4.6072903
after,11,4.6068735
after,12,4.4071455
after,13,4.60647
after,14,4.60692
after,15,4.6075706
after,16,4.606796
after,17,4.6072855
after,18,4.6066213
after,19,4.6067467
after,20,4.6071324
after,21,4.60598
after,22,4.6077394
after,23,4.6069574
after,24,4.6062427
after,25,4.606609
after,26,4.6073394
after,27,4.608174
after,28,4.6067047
after,29,4.607257
after,30,4.6071334
after,31,4.606833
after,32,4.6068516
after,33,4.607502
after,34,4.606674
after,35,4.607395
after,36,4.6066236
after,37,4.6077213
after,38,4.607648
after,39,4.6066775
after,40,4.608098
