version,run_number,energibridge_time_sec
before,1,72.44417
before,2,72.44459
before,3,71.84201
before,4,72.437004
before,5,71.84619
before,6,72.84367
before,7,70.24536
before,8,71.446365
before,9,72.645744
before,10,72.84693
before,11,71.24691
before,12,71.4447
before,13,72.24827
before,14,71.64235
before,15,72.837944
before,16,70.84326
before,17,72.44074
before,18,71.44077
before,19,72.44026
before,20,73.04848
before,21,70.240906
before,22,72.44482
before,23,71.246376
before,24,71.44509
before,25,71.435074
before,26,71.447525
before,27,71.842285
before,28,72.8427
before,29,70.25157
before,30,71.63956
before,31,72.444534
before,32,73.04301
before,33,71.4485
before,34,71.846436
before,35,71.84672
before,37,71.85177
before,38,72.65097
before,39,70.24273
before,40,71.4431
after_careful_mock,1,1.0047417
after_careful_mock,2,1.0029328
after_careful_mock,3,1.0059692
after_careful_mock,4,1.0039777
after_careful_mock,5,1.0053108
after_careful_mock,6,1.0072665
after_careful_mock,7,1.006517
after_careful_mock,8,1.0040205
after_careful_mock,9,1.0053134
after_careful_mock,10,1.0034014
after_careful_mock,11,1.0036873
after_careful_mock,12,1.0069699
after_careful_mock,13,1.0044338
after_careful_mock,14,1.0043491
after_careful_mock,15,1.0027617
after_careful_mock,16,1.0034382
after_careful_mock,17,1.4047542
after_careful_mock,18,1.4053009
after_careful_mock,19,1.2046183
after_careful_mock,20,1.2054478
after_careful_mock,21,1.003306
after_careful_mock,22,1.0046581
after_careful_mock,23,1.0087777
after_careful_mock,24,1.0036482
after_careful_mock,25,1.0030125
after_careful_mock,26,1.0054684
after_careful_mock,27,1.0032015
after_careful_mock,28,1.0065051
after_careful_mock,29,1.0033294
after_careful_mock,30,1.0052304
after_careful_mock,31,1.0055025
after_careful_mock,32,1.0063835
after_careful_mock,33,1.0037332
after_careful_mock,34,1.0043766
after_careful_mock,35,1.0046711
after_careful_mock,36,1.0028125
after_careful_mock,37,1.0049855
after_careful_mock,38,1.0040842
after_careful_mock,39,1.0027382
after_careful_mock,40,1.005942
