version,run_number,energy_joules,execution_time_sec,average_power_watts
before,1,1096.9212493896484,52.032017,21.081659190525873
before,2,1080.6314392089844,50.630203,21.343612610223673
before,3,1080.1656951904297,50.631886,21.333704519528062
before,4,1081.0647277832031,50.63408,21.350535603356537
before,5,1083.0366516113281,50.834522,21.30514085706025
before,6,1081.8413696289062,50.633163,21.36626087587904
before,7,1079.9487609863281,50.42963,21.414964991540252
before,8,1080.4013671875,50.430187,21.423703370116396
before,9,1082.3304290771484,50.631138,21.37677468511864
before,10,1082.154052734375,50.43408,21.456801685177464
before,11,1080.3705596923828,50.43018,21.42309544983545
before,12,1079.7712860107422,50.430737,21.41097573114472
before,13,1077.732925415039,50.42805,21.37169542377782
before,14,1079.0985870361328,50.43008,21.397915431348373
before,15,1078.33544921875,50.629833,21.298420028735826
before,16,1082.1580047607422,50.630123,21.373797665092425
before,17,1082.2733917236328,50.63223,21.375187143122726
before,18,1081.564224243164,50.630398,21.361953825509413
before,19,1077.0598907470703,50.431026,21.357088605476125
before,20,1080.559555053711,50.433277,21.42552733691509
before,21,1079.1335144042969,50.43006,21.398616507779227
before,22,1081.2332305908203,50.4297,21.440405764674793
before,23,1082.6024780273438,50.429153,21.46779022894443
before,24,1089.266586303711,51.03177,21.344871759370896
before,25,1082.4911041259766,50.63023,21.380331555396385
before,26,1080.6162414550781,50.430588,21.427793811467716
before,27,1084.3758087158203,50.83176,21.332643385076974
before,28,1078.3438568115234,50.43005,21.382962277680143
before,29,1080.917739868164,50.629387,21.349611439462304
before,30,1084.8389282226562,50.82974,21.34260234702472
before,31,1082.2637634277344,50.631405,21.375345270938745
before,32,1079.8623504638672,50.63127,21.32797282122031
before,33,1078.0852966308594,50.431293,21.377308264352045
before,34,1079.3436431884766,50.62995,21.31828380609652
before,35,1087.0843658447266,51.03347,21.301400156499774
before,36,1080.7340087890625,50.629936,21.345751035297823
before,38,1081.4160461425781,50.63016,21.359127566307873
before,39,1081.3658294677734,50.63157,21.357540946642054
before,40,1082.9089813232422,50.633675,21.38712983648219
after,1,99.468994140625,6.0048623,16.564741899347965
after,2,92.28086853027344,5.2056355,17.727109116701207
after,3,94.05514526367188,5.404708,17.40244713750898
after,4,92.52951049804688,5.208738,17.764285801675353
after,5,92.17222595214844,5.2056465,17.70620151640117
after,6,92.03378295898438,5.2050743,17.681550282382016
after,7,91.93199157714844,5.2050543,17.662061964876802
after,8,92.13832092285156,5.207211,17.694370541706792
after,9,92.09541320800781,5.205382,17.692344809277746
after,10,92.65299987792969,5.2052073,17.800059543820606
after,11,92.400634765625,5.2051134,17.75189658031754
after,12,92.28822326660156,5.2049093,17.730995478941693
after,13,91.77700805664062,5.204778,17.633222407687825
after,14,92.52708435058594,5.2055,17.7748697244426
after,15,92.68074035644531,5.207535,17.797430138529133
after,16,92.44805908203125,5.2046547,17.76257300643427
after,17,92.0843505859375,5.205742,17.688996224925766
after,18,92.55340576171875,5.205132,17.78118321720155
after,19,92.77372741699219,5.2051306,17.823515785942465
after,20,138.0021514892578,5.8041196,23.776586459255217
after,21,126.16258239746094,5.608434,22.49515326336388
after,22,121.17845153808594,5.4059753,22.415650241333132
after,23,117.19512939453125,5.404481,21.684807365319863
after,24,117.44235229492188,5.4072566,21.719396910981047
after,25,117.66958618164062,5.4048676,21.771039531410654
after,26,117.94486999511719,5.4072475,21.81236756688448
after,27,117.87156677246094,5.408062,21.795528004756775
after,28,118.25736999511719,5.4080563,21.866889587506176
after,29,122.90815734863281,5.6101184,21.908300072353697
after,30,99.40771484375,5.4089227,18.378468385904277
after,31,91.728271484375,5.2041903,17.62584882500838
after,32,92.24803161621094,5.205654,17.720738185098536
after,33,91.45010375976562,5.2068353,17.563471569720214
after,34,91.74031066894531,5.2075214,17.61688596593099
after,35,94.39309692382812,5.4073787,17.456350324386957
after,36,91.94429016113281,5.205925,17.661470374838828
after,37,92.38764953613281,5.2059336,17.746605438097177
after,38,94.9268798828125,5.4056983,17.560521252695974
after,39,92.15318298339844,5.2050753,17.704486039500416
after,40,91.87890625,5.2067666,17.646058160164124
