version,run_number,energibridge_time_sec
before,1,516.24896
before,2,525.61957
before,3,515.4365
before,4,514.6113
before,5,513.17926
before,7,523.2332
before,8,514.6605
before,9,518.5412
before,10,523.66113
before,11,522.5389
before,12,514.6378
before,13,510.01538
before,14,515.024
before,15,522.8562
before,16,515.04846
before,17,514.84753
before,18,516.2589
before,19,513.7861
before,20,515.65106
before,21,533.6987
before,22,515.84
before,23,513.2423
before,24,523.8562
before,25,522.882
before,26,522.42944
before,27,515.669
before,28,515.80835
before,29,516.0318
before,30,514.6026
before,31,523.6481
before,32,525.46533
before,33,510.03943
before,34,511.0252
before,35,514.62256
before,36,515.0332
before,37,515.858
before,38,519.2503
before,39,515.26526
before,40,514.4629
after,1,37.6741
after,2,44.28672
after,3,36.27525
after,4,45.69913
after,5,36.87475
after,6,30.850391
after,7,36.064884
after,8,36.06897
after,9,37.271564
after,10,43.89206
after,11,37.47625
after,12,43.88556
after,13,45.48497
after,14,44.287643
after,15,37.272617
after,16,30.053507
after,17,37.67064
after,18,36.470875
after,19,35.6798
after,20,37.47027
after,21,36.265957
after,22,36.265785
after,23,36.474243
after,24,37.27061
after,25,37.471573
after,26,36.464653
after,27,37.27291
after,28,37.272095
after,29,45.290573
after,30,31.459799
after,31,45.69319
after,32,45.49316
after,33,37.270256
after,34,30.257103
after,35,48.29526
after,36,36.26868
after,37,36.07055
after,38,37.26909
after,39,45.083595
after,40,36.86076
