version,run_number,test_name,test_path,phase,duration_sec,total_test_time
before,1,test_mlflow_model_registry_load_given_stage_or_version,tests/io/models/test_mlflow_model_registry_dataset.py::test_mlflow_model_registry_load_given_stage_or_version,call,8.87,55.38
before,1,test_save_unversioned_under_same_path,tests/io/models/test_mlflow_model_local_filesystem_dataset.py::test_save_unversioned_under_same_path,call,5.46,55.38
before,1,test_save_and_load_sklearn_flavor_with_run_id[True],tests/io/models/test_mlflow_model_tracking_dataset.py::test_save_and_load_sklearn_flavor_with_run_id[True],call,2.44,55.38
before,1,test_save_and_load_sklearn_flavor_with_run_id[False],tests/io/models/test_mlflow_model_tracking_dataset.py::test_save_and_load_sklearn_flavor_with_run_id[False],call,2.44,55.38
before,1,test_save_and_load_sklearn_flavor_with_run_id[False],tests/io/models/test_mlflow_model_tracking_dataset.py::test_save_and_load_sklearn_flavor_with_run_id[False],call,2.44,55.38
before,1,test_save_and_load_sklearn_flavor_without_run_id[False],tests/io/models/test_mlflow_model_tracking_dataset.py::test_save_and_load_sklearn_flavor_without_run_id[False],call,2.43,55.38
before,1,test_save_and_load_sklearn_flavor_without_run_id[True],tests/io/models/test_mlflow_model_tracking_dataset.py::test_save_and_load_sklearn_flavor_without_run_id[True],call,2.42,55.38
before,1,test_save_and_load_sklearn_flavor_with_run_id[True],tests/io/models/test_mlflow_model_tracking_dataset.py::test_save_and_load_sklearn_flavor_with_run_id[True],call,2.42,55.38
before,1,test_save_and_load_sklearn_flavor_without_run_id[True],tests/io/models/test_mlflow_model_tracking_dataset.py::test_save_and_load_sklearn_flavor_without_run_id[True],call,2.42,55.38
before,1,test_save_load_local[False],tests/io/models/test_mlflow_model_local_filesystem_dataset.py::test_save_load_local[False],call,2.42,55.38
before,1,test_kedro_pipeline_ml_loading_deepcopiable_catalog,tests/mlflow/test_kedro_pipeline_model.py::test_kedro_pipeline_ml_loading_deepcopiable_catalog,call,2.42,55.38
before,1,test_save_and_load_sklearn_flavor_without_run_id[False],tests/io/models/test_mlflow_model_tracking_dataset.py::test_save_and_load_sklearn_flavor_without_run_id[False],call,2.41,55.38
before,1,test_save_load_local[True],tests/io/models/test_mlflow_model_local_filesystem_dataset.py::test_save_load_local[True],call,2.41,55.38
before,1,test_mlflow_config_default,tests/config/test_get_mlflow_config.py::test_mlflow_config_default,call,0.27,55.38
before,1,test_modelify_with_default_conda_env,tests/framework/cli/test_cli_modelify.py::test_modelify_with_default_conda_env,setup,0.17,55.38
before,1,test_kedro_mlflow_config_setup_set_experiment_globally,tests/config/test_kedro_mlflow_config.py::test_kedro_mlflow_config_setup_set_experiment_globally,call,0.16,55.38
before,1,test_on_pipeline_error,tests/framework/hooks/test_hook_on_pipeline_error.py::test_on_pipeline_error,call,0.14,55.38
before,1,test_node_hook_logging_above_limit_truncate_strategy[6020],tests/framework/hooks/test_hook_log_parameters.py::test_node_hook_logging_above_limit_truncate_strategy[6020],call,0.13,55.38
before,1,test_node_hook_logging_above_limit_tag_strategy[6020],tests/framework/hooks/test_hook_log_parameters.py::test_node_hook_logging_above_limit_tag_strategy[6020],call,0.13,55.38
before,1,test_node_hook_logging_below_limit_all_strategy[tag-6000],tests/framework/hooks/test_hook_log_parameters.py::test_node_hook_logging_below_limit_all_strategy[tag-6000],call,0.13,55.38
