version,run_number,energibridge_time_sec
before,1,117.689835
before,2,114.89114
before,3,114.88739
before,4,115.09006
before,5,114.70222
before,6,114.68175
before,7,115.10275
before,8,114.89357
before,9,114.880005
before,10,114.88724
before,11,114.90238
before,12,114.89612
before,13,114.89866
before,14,114.69013
before,15,115.08316
before,16,114.883766
before,17,115.279076
before,18,115.09993
before,19,115.07957
before,20,114.88949
before,21,114.88737
before,22,114.88768
before,23,114.891235
before,24,115.09373
before,25,115.09122
before,26,115.28837
before,27,115.09458
before,28,115.28395
before,29,114.88916
before,30,114.87915
before,31,114.8885
before,32,114.900024
before,33,114.87739
before,34,115.08665
before,35,114.88558
before,36,114.90022
before,37,115.10087
before,38,115.100296
before,39,115.09432
before,40,115.08231
after,1,103.677155
after,2,103.08699
after,3,103.27637
after,4,103.278305
after,6,103.294205
after,7,103.09226
after,8,103.081985
after,9,103.68439
after,10,103.082245
after,11,103.282684
after,12,103.0833
after,13,103.27685
after,14,103.29135
after,15,103.478645
after,16,103.08442
after,17,103.276474
after,18,103.079926
after,19,103.073494
after,20,102.88167
after,21,103.070526
after,22,103.27358
after,23,103.0832
after,24,103.292755
after,25,103.278175
after,26,103.069725
after,27,103.2729
after,28,103.076775
after,29,103.0725
after,30,103.07929
after,31,103.07245
after,32,103.283615
after,33,103.0872
after,34,103.28088
after,35,103.26422
after,36,103.08713
after,37,102.88561
after,38,103.07624
after,39,103.27981
after,40,103.278854
