version,run_number,energibridge_time_sec
before,1,110.86574
before,2,100.05737
before,3,99.66132
before,4,100.053246
before,5,100.05481
before,6,100.054375
before,7,99.45152
before,8,100.0614
before,9,99.85857
before,10,99.04941
before,12,99.452995
before,13,99.85286
before,14,100.25529
before,15,99.253265
before,16,100.262535
before,17,99.253296
before,18,99.45767
before,19,99.65607
before,20,99.45447
before,21,99.45316
before,22,100.26653
before,23,100.85831
before,24,100.05516
before,25,99.860756
before,26,100.255
before,27,98.86359
before,28,100.04458
before,29,99.85342
before,30,100.05223
before,31,99.45619
before,32,99.2614
before,33,99.258286
before,34,99.65664
before,35,99.058975
before,36,99.854485
before,37,99.45954
before,38,100.064606
before,39,100.25894
before,40,99.450096
after_careful_mock,1,22.21539
after_careful_mock,2,22.015886
after_careful_mock,3,22.015495
after_careful_mock,4,22.218548
after_careful_mock,5,22.012669
after_careful_mock,6,22.21334
after_careful_mock,7,22.016235
after_careful_mock,8,22.013475
after_careful_mock,9,22.216824
after_careful_mock,10,22.013836
after_careful_mock,11,22.217228
after_careful_mock,12,22.018372
after_careful_mock,13,22.21697
after_careful_mock,14,22.01427
after_careful_mock,15,22.21397
after_careful_mock,16,22.215858
after_careful_mock,17,22.214558
after_careful_mock,18,22.215458
after_careful_mock,19,22.016218
after_careful_mock,20,22.019829
after_careful_mock,21,22.215914
after_careful_mock,22,22.613577
after_careful_mock,23,22.218801
after_careful_mock,24,22.418493
after_careful_mock,25,22.01861
after_careful_mock,26,22.21326
after_careful_mock,27,22.212471
after_careful_mock,28,22.21585
after_careful_mock,29,22.215633
after_careful_mock,30,22.216719
after_careful_mock,31,22.212719
after_careful_mock,32,22.213665
after_careful_mock,33,22.013332
after_careful_mock,34,22.016733
after_careful_mock,35,22.216671
after_careful_mock,36,22.02003
after_careful_mock,37,22.216053
after_careful_mock,38,22.017948
after_careful_mock,39,22.214666
after_careful_mock,40,22.213236
