version,run_number,test_name,test_path,phase,duration_sec,total_test_time
before,1,test_cli_pipeline_search,tests/test_cli.py::test_cli_pipeline_search,call,3.76,22.03
before,1,test_cli_pipeline_install[False],tests/test_cli.py::test_cli_pipeline_install[False],call,1.7,22.03
before,1,test_cli_pipeline_install[True],tests/test_cli.py::test_cli_pipeline_install[True],call,1.64,22.03
before,1,test_run_main_invalid_zenodo_record,tests/test_workflow_pipeline_store_install.py::test_run_main_invalid_zenodo_record,call,1.62,22.03
before,1,test_download_record_files[],tests/test_zenodo_api.py::test_download_record_files[],call,1.54,22.03
before,1,test_download,tests/test_workflow_pipeline_store_install.py::test_download,call,1.34,22.03
before,1,test_download_dir_exist[True-False],tests/test_workflow_pipeline_store_install.py::test_download_dir_exist[True-False],call,1.32,22.03
before,1,test_download_record_files[zenodo.],tests/test_zenodo_api.py::test_download_record_files[zenodo.],call,1.25,22.03
before,1,test_download_install_dir_exist[True-False],tests/test_workflow_pipeline_store_install.py::test_download_install_dir_exist[True-False],call,1.24,22.03
before,1,test_download_install_dir_exist[False-True],tests/test_workflow_pipeline_store_install.py::test_download_install_dir_exist[False-True],call,1.18,22.03
before,1,test_search_records[None-],tests/test_zenodo_api.py::test_search_records[None-],call,0.6,22.03
before,1,test_search_records[keywords1-],tests/test_zenodo_api.py::test_search_records[keywords1-],call,0.54,22.03
before,1,test_search_records[keywords2-FMRIPREP],tests/test_zenodo_api.py::test_search_records[keywords2-FMRIPREP],call,0.43,22.03
before,1,test_search_records[None-FMRIPREP],tests/test_zenodo_api.py::test_search_records[None-FMRIPREP],call,0.39,22.03
before,1,test_search_records[keywords1-FMRIPREP],tests/test_zenodo_api.py::test_search_records[keywords1-FMRIPREP],call,0.38,22.03
before,1,test_search_records[keywords2-],tests/test_zenodo_api.py::test_search_records[keywords2-],call,0.37,22.03
before,1,test_run_main_no_results,tests/test_workflow_pipeline_store_search.py::test_run_main_no_results,call,0.2,22.03
before,1,test_confirm_upload_no,tests/test_workflow_zenodo.py::test_confirm_upload_no,call,0.19,22.03
before,1,test_cli_track,tests/test_cli.py::test_cli_track,call,0.14,22.03
before,1,test_upload,tests/test_workflow_zenodo.py::test_upload,call,0.13,22.03
before,1,test_update_creators[json_response0-expected_creators0],tests/test_zenodo_api.py::test_update_creators[json_response0-expected_creators0],call,0.12,22.03
before,1,test_failed_authentication,tests/test_zenodo_api.py::test_failed_authentication,call,0.11,22.03
before,1,test_download_invalid_record,tests/test_zenodo_api.py::test_download_invalid_record,call,0.1,22.03
before,1,test_cli_extract,tests/test_cli.py::test_cli_extract,call,0.1,22.03
before,1,test_cli_bidsify,tests/test_cli.py::test_cli_bidsify,call,0.09,22.03
before,1,test_cli_run,tests/test_cli.py::test_cli_run,call,0.09,22.03
before,1,test_cli_status,tests/test_cli.py::test_cli_status,call,0.07,22.03
before,1,test_cli_init,tests/test_cli.py::test_cli_init,call,0.07,22.03
before,1,test_cli_pipeline_create,tests/test_cli.py::test_cli_pipeline_create,call,0.07,22.03
before,1,test_cli_reorg,tests/test_cli.py::test_cli_reorg,call,0.06,22.03
before,1,test_run_main_force[True],tests/test_workflow_pipeline_store_install.py::test_run_main_force[True],call,0.06,22.03
before,1,test_cli_pipeline_list,tests/test_cli.py::test_cli_pipeline_list,call,0.06,22.03
before,1,test_cli_track_curation,tests/test_cli.py::test_cli_track_curation,call,0.06,22.03
before,1,test_cli_pipeline_validate,tests/test_cli.py::test_cli_pipeline_validate,call,0.05,22.03
before,1,test_force_upload_duplicate_record,tests/test_workflow_zenodo.py::test_force_upload_duplicate_record,call,0.04,22.03
before,1,test_update_creators[json_response1-expected_creators1],tests/test_zenodo_api.py::test_update_creators[json_response1-expected_creators1],call,0.04,22.03
before,1,test_cli_pipeline_upload,tests/test_cli.py::test_cli_pipeline_upload,call,0.04,22.03
before,1,test_dep_params,tests/test_cli.py::test_dep_params,call,0.04,22.03
before,1,test_update_config_and_save_no_other_change,tests/test_workflow_pipeline_store_install.py::test_update_config_and_save_no_other_change,call,0.04,22.03
before,1,test_download_container_failed,tests/test_workflow_pipeline_store_install.py::test_download_container_failed,call,0.03,22.03
before,1,test_update_config_and_save_no_write[variables1-True],tests/test_workflow_pipeline_store_install.py::test_update_config_and_save_no_write[variables1-True],call,0.03,22.03
before,1,test_download_dir_exist[False-True],tests/test_workflow_pipeline_store_install.py::test_download_dir_exist[False-True],call,0.03,22.03
before,1,test_update_config_and_save[True-variables1],tests/test_workflow_pipeline_store_install.py::test_update_config_and_save[True-variables1],call,0.02,22.03
before,1,"test_upload_duplicate_record[hits0-https://zenodo.org/records/123456, https://zenodo.org/records/123456, https://zenodo.org/records/123456]","tests/test_workflow_zenodo.py::test_upload_duplicate_record[hits0-https://zenodo.org/records/123456, https://zenodo.org/records/123456, https://zenodo.org/records/123456]",call,0.02,22.03
before,1,test_upload_same_pipeline[True],tests/test_workflow_zenodo.py::test_upload_same_pipeline[True],call,0.02,22.03
before,1,test_run_main,tests/test_workflow_pipeline_store_install.py::test_run_main,call,0.02,22.03
before,1,test_download_container_image_exists,tests/test_workflow_pipeline_store_install.py::test_download_container_image_exists,call,0.02,22.03
before,1,test_upload_same_pipeline[False],tests/test_workflow_zenodo.py::test_upload_same_pipeline[False],call,0.02,22.03
before,1,test_run_main,tests/test_workflow_pipeline_store_search.py::test_run_main,call,0.02,22.03
before,1,test_download_container_status,tests/test_workflow_pipeline_store_install.py::test_download_container_status,call,0.01,22.03
before,1,test_update_config_and_save_no_write[variables0-False],tests/test_workflow_pipeline_store_install.py::test_update_config_and_save_no_write[variables0-False],call,0.01,22.03
before,1,test_update_config_and_save[False-variables1],tests/test_workflow_pipeline_store_install.py::test_update_config_and_save[False-variables1],call,0.01,22.03
before,1,test_download_container_confirm_true[False],tests/test_workflow_pipeline_store_install.py::test_download_container_confirm_true[False],call,0.01,22.03
before,1,test_download_container_confirm_true[True],tests/test_workflow_pipeline_store_install.py::test_download_container_confirm_true[True],call,0.01,22.03
before,1,test_cli_deprecations[run],tests/test_cli.py::test_cli_deprecations[run],call,0.01,22.03
before,1,test_download_container,tests/test_workflow_pipeline_store_install.py::test_download_container,call,0.01,22.03
before,1,test_cli,tests/test_cli.py::test_cli,call,0.01,22.03
before,1,test_update_config_and_save[True-variables0],tests/test_workflow_pipeline_store_install.py::test_update_config_and_save[True-variables0],call,0.01,22.03
before,1,test_cli_deprecations[track],tests/test_cli.py::test_cli_deprecations[track],call,0.01,22.03
before,1,test_hits_to_df,tests/test_workflow_pipeline_store_search.py::test_hits_to_df,call,0.01,22.03
