version,run_number,energibridge_time_sec
before,1,23.644146
before,2,22.640877
before,3,21.633408
before,4,21.436735
before,5,21.236391
before,6,26.45374
before,7,21.436192
before,8,24.045334
before,9,20.837154
before,10,21.437782
before,11,21.23784
before,12,21.438156
before,13,30.661192
before,14,21.235691
before,15,22.038591
before,16,21.237755
before,17,31.86191
before,18,21.436401
before,19,21.437061
before,20,21.236153
before,21,21.234596
before,22,21.034977
before,23,24.244286
before,24,21.840456
before,25,21.23794
before,26,22.03905
before,27,24.04293
before,28,21.237844
before,29,21.43654
before,30,22.03984
before,31,21.237642
before,32,26.849838
before,33,21.038782
before,34,21.235052
before,35,21.435143
before,36,22.637045
before,37,21.837564
before,38,22.236382
before,39,22.03892
before,40,21.63462
after,1,17.427599
after,2,17.427574
after,3,17.026604
after,4,17.02694
after,5,16.821554
after,6,16.824179
after,7,17.024302
after,8,17.025558
after,9,17.224651
after,10,17.228584
after,11,17.422377
after,12,17.42608
after,13,27.049805
after,14,17.025328
after,15,17.028082
after,16,17.223858
after,17,17.02452
after,18,17.227367
after,19,16.826313
after,20,17.027245
after,21,20.43086
after,22,16.823107
after,23,17.227255
after,24,16.826069
after,25,17.229092
after,26,21.837986
after,27,18.024889
after,28,20.234888
after,29,16.627996
after,30,18.425497
after,31,16.626633
after,32,16.82504
after,33,17.62689
after,34,16.624582
after,35,17.228714
after,36,17.228346
after,37,17.427738
after,38,17.426317
after,39,24.445074
after,40,17.62509
