version,run_number,energibridge_time_sec
before,1,100.6388
before,3,100.43404
before,4,100.63382
before,5,100.43752
before,6,100.43455
before,7,100.45047
before,8,100.612206
before,9,100.63355
before,10,100.43985
before,11,100.45304
before,12,100.44899
before,13,100.450645
before,14,100.45054
before,15,100.63299
before,16,100.43722
before,17,100.42772
before,18,100.446815
before,19,100.4578
before,20,100.453804
before,21,100.46131
before,22,100.46099
before,23,100.455124
before,24,100.45621
before,25,100.45152
before,26,100.45952
before,27,100.45796
before,28,100.45259
before,29,100.45566
before,30,100.450356
before,31,100.44672
before,32,100.43865
before,33,100.441696
before,34,100.4378
before,35,100.45025
before,36,100.452065
before,37,100.42633
before,38,100.45307
before,39,100.45408
before,40,100.44913
after,1,0.40322846
after,2,0.4029107
after,3,0.40331727
after,4,0.40296325
after,5,0.40346497
after,6,0.4032506
after,7,0.40318194
after,8,0.40331078
after,9,0.40328053
after,10,0.40280896
after,11,0.40352976
after,12,0.403488
after,13,0.4030872
after,14,0.40336075
after,15,0.40283543
after,16,0.4028639
after,17,0.40382046
after,18,0.40320227
after,19,0.4028555
after,20,0.40279624
after,21,0.40371376
after,22,0.4028919
after,23,0.40334427
after,24,0.40286902
after,25,0.4037438
after,26,0.40272227
after,27,0.40267953
after,28,0.40264493
after,29,0.40300754
after,30,0.4029019
after,31,0.40286085
after,32,0.40328887
after,33,0.40425953
after,34,0.4037375
after,35,0.40325496
after,36,0.40343922
after,37,0.4026722
after,38,0.40382716
after,39,0.40334925
after,40,0.4028557
