version,run_number,energibridge_time_sec
before,1,8.616931
before,2,8.620278
before,3,8.619547
before,4,8.618538
before,5,8.621741
before,6,8.619098
before,7,8.615542
before,8,8.617466
before,9,8.618973
before,10,8.617777
before,11,8.620764
before,12,8.618671
before,13,8.617534
before,14,8.62198
before,15,8.620928
before,16,8.621035
before,17,8.618574
before,18,8.619858
before,19,8.619948
before,20,8.6196995
before,21,8.618012
before,22,8.618425
before,23,8.620028
before,24,8.61596
before,25,8.617547
before,26,8.61662
before,27,8.61834
before,28,8.619956
before,29,8.620682
before,30,8.616488
before,31,8.61886
before,32,8.617608
before,33,8.618744
before,34,8.620676
before,35,8.619844
before,36,8.820432
before,37,8.616082
before,38,8.618285
before,39,8.617451
before,40,8.621211
after_careful_mock,1,2.204809
after_careful_mock,2,2.2066917
after_careful_mock,3,2.2064943
after_careful_mock,4,2.209324
after_careful_mock,5,2.2081628
after_careful_mock,6,2.206306
after_careful_mock,7,2.2078226
after_careful_mock,8,2.2056448
after_careful_mock,9,2.205625
after_careful_mock,10,2.2047338
after_careful_mock,11,2.2081828
after_careful_mock,12,2.2058575
after_careful_mock,13,2.2072315
after_careful_mock,14,2.2089965
after_careful_mock,15,2.2088296
after_careful_mock,16,2.205416
after_careful_mock,17,2.2096505
after_careful_mock,18,2.2046754
after_careful_mock,19,2.208026
after_careful_mock,20,2.2058825
after_careful_mock,21,2.2072446
after_careful_mock,22,2.2051249
after_careful_mock,23,2.2051957
after_careful_mock,24,2.208148
after_careful_mock,25,2.2105782
after_careful_mock,26,2.208021
after_careful_mock,27,2.2087655
after_careful_mock,28,2.2060912
after_careful_mock,29,2.2071
after_careful_mock,30,2.2074375
after_careful_mock,31,2.2059336
after_careful_mock,32,2.206684
after_careful_mock,33,2.2066615
after_careful_mock,34,2.207496
after_careful_mock,35,2.2067833
after_careful_mock,36,2.2068186
after_careful_mock,37,2.207724
after_careful_mock,38,2.2065291
after_careful_mock,39,2.2057245
after_careful_mock,40,2.2068715
