version,run_number,test_name,test_path,phase,duration_sec,total_test_time
before,1,test_fetch_data_files,pydicom/tests/test_data_manager.py::test_fetch_data_files,call,0.61,0.68
before,2,test_fetch_data_files,pydicom/tests/test_data_manager.py::test_fetch_data_files,call,0.15,0.21
before,3,test_fetch_data_files,pydicom/tests/test_data_manager.py::test_fetch_data_files,call,0.19,0.25
before,4,test_fetch_data_files,pydicom/tests/test_data_manager.py::test_fetch_data_files,call,0.15,0.21
before,5,test_fetch_data_files,pydicom/tests/test_data_manager.py::test_fetch_data_files,call,0.16,0.22
before,6,test_fetch_data_files,pydicom/tests/test_data_manager.py::test_fetch_data_files,call,0.16,0.22
before,7,test_fetch_data_files,pydicom/tests/test_data_manager.py::test_fetch_data_files,call,0.14,0.2
before,8,test_fetch_data_files,pydicom/tests/test_data_manager.py::test_fetch_data_files,call,0.16,0.22
before,9,test_fetch_data_files,pydicom/tests/test_data_manager.py::test_fetch_data_files,call,0.15,0.22
before,10,test_fetch_data_files,pydicom/tests/test_data_manager.py::test_fetch_data_files,call,0.13,0.19
before,11,test_fetch_data_files,pydicom/tests/test_data_manager.py::test_fetch_data_files,call,0.13,0.19
before,12,test_fetch_data_files,pydicom/tests/test_data_manager.py::test_fetch_data_files,call,0.18,0.24
before,13,test_fetch_data_files,pydicom/tests/test_data_manager.py::test_fetch_data_files,call,0.16,0.22
before,14,test_fetch_data_files,pydicom/tests/test_data_manager.py::test_fetch_data_files,call,0.17,0.24
before,15,test_fetch_data_files,pydicom/tests/test_data_manager.py::test_fetch_data_files,call,0.16,0.23
before,16,test_fetch_data_files,pydicom/tests/test_data_manager.py::test_fetch_data_files,call,0.15,0.21
before,17,test_fetch_data_files,pydicom/tests/test_data_manager.py::test_fetch_data_files,call,0.15,0.21
before,18,test_fetch_data_files,pydicom/tests/test_data_manager.py::test_fetch_data_files,call,0.16,0.22
before,19,test_fetch_data_files,pydicom/tests/test_data_manager.py::test_fetch_data_files,call,0.16,0.22
before,20,test_fetch_data_files,pydicom/tests/test_data_manager.py::test_fetch_data_files,call,0.16,0.22
before,21,test_fetch_data_files,pydicom/tests/test_data_manager.py::test_fetch_data_files,call,0.14,0.21
before,22,test_fetch_data_files,pydicom/tests/test_data_manager.py::test_fetch_data_files,call,0.16,0.22
before,23,test_fetch_data_files,pydicom/tests/test_data_manager.py::test_fetch_data_files,call,0.19,0.25
