version,run_number,energibridge_time_sec
before,1,23.018185
before,2,23.017738
before,3,23.416256
before,4,23.619287
before,5,23.22118
before,6,23.418005
before,7,22.81609
before,8,23.418455
before,9,23.218546
before,10,23.218412
before,11,23.016129
before,12,23.022163
before,13,23.416817
before,14,23.218048
before,15,22.81737
before,16,23.01554
before,17,23.415743
before,18,23.01804
before,19,23.416971
before,20,23.01514
before,21,23.417578
before,22,23.02236
before,23,23.017181
before,24,22.816038
before,25,23.420467
before,26,25.420643
before,27,22.01543
before,28,22.616833
before,29,22.416714
before,30,22.22067
before,31,22.418549
before,32,22.81698
before,33,22.617907
before,34,22.616816
before,35,22.217033
before,36,22.417679
before,37,22.016617
before,38,22.41698
before,39,22.218372
before,40,22.0176
after_careful_mock,1,17.80979
after_careful_mock,2,17.412073
after_careful_mock,3,18.010674
after_careful_mock,4,17.212402
after_careful_mock,5,17.010027
after_careful_mock,6,17.409859
after_careful_mock,8,17.81334
after_careful_mock,9,17.412037
after_careful_mock,10,17.610037
after_careful_mock,11,17.811218
after_careful_mock,12,17.412066
after_careful_mock,13,18.010752
after_careful_mock,14,17.410622
after_careful_mock,15,17.410786
after_careful_mock,16,17.615412
after_careful_mock,17,17.612583
after_careful_mock,18,16.810873
after_careful_mock,19,17.409899
after_careful_mock,20,17.41163
after_careful_mock,21,17.410112
after_careful_mock,22,17.612955
after_careful_mock,23,17.411024
after_careful_mock,24,17.8116
after_careful_mock,25,17.813105
after_careful_mock,26,17.010597
after_careful_mock,27,17.213396
after_careful_mock,28,18.012777
after_careful_mock,29,17.811098
after_careful_mock,30,17.414898
after_careful_mock,31,18.01394
after_careful_mock,32,17.215069
after_careful_mock,33,17.613049
after_careful_mock,34,17.210426
after_careful_mock,35,17.409891
after_careful_mock,36,17.211863
after_careful_mock,37,17.612774
after_careful_mock,38,17.41348
after_careful_mock,39,17.811338
after_careful_mock,40,17.612206
