version,run_number,energibridge_time_sec
before,1,24.256218
before,2,24.255568
before,3,24.253752
before,4,24.255701
before,5,24.255468
before,6,24.250353
before,7,24.253817
before,8,24.256235
before,9,24.247997
before,10,24.255896
before,11,24.259008
before,12,24.25436
before,13,24.2577
before,14,24.25749
before,15,24.255278
before,16,24.254536
before,17,24.258644
before,18,24.255331
before,19,24.256458
before,20,24.25774
before,21,24.25625
before,22,24.252981
before,23,24.251526
before,24,24.25647
before,25,24.252327
before,26,24.250582
before,27,24.250553
before,28,24.252262
before,29,24.45259
before,30,24.25236
before,31,24.251623
before,32,24.246195
before,33,24.253897
before,34,24.25434
before,35,24.253578
before,36,24.253248
before,37,24.252802
before,38,24.25514
before,39,24.24914
before,40,24.256268
after_careful_mock,1,3.205303
after_careful_mock,2,3.2061388
after_careful_mock,3,3.2061143
after_careful_mock,4,3.2066917
after_careful_mock,5,3.2061388
after_careful_mock,6,3.2063153
after_careful_mock,7,3.20615
after_careful_mock,8,3.2062707
after_careful_mock,9,3.2063642
after_careful_mock,10,3.2055006
after_careful_mock,11,3.206092
after_careful_mock,12,3.206835
after_careful_mock,13,3.2065427
after_careful_mock,14,3.2071333
after_careful_mock,15,3.2063997
after_careful_mock,16,3.2063828
after_careful_mock,17,3.206351
after_careful_mock,18,3.206633
after_careful_mock,19,3.206377
after_careful_mock,20,3.2056463
after_careful_mock,21,3.2053
after_careful_mock,22,3.206647
after_careful_mock,23,3.2061565
after_careful_mock,24,3.2061763
after_careful_mock,25,3.2058825
after_careful_mock,26,3.2060108
after_careful_mock,27,3.204916
after_careful_mock,28,3.2057042
after_careful_mock,29,3.2056842
after_careful_mock,30,3.2069626
after_careful_mock,31,3.2040877
after_careful_mock,32,3.2062678
after_careful_mock,33,3.206599
after_careful_mock,34,3.2050095
after_careful_mock,35,3.2066882
after_careful_mock,36,3.2054348
after_careful_mock,37,3.2061033
after_careful_mock,38,3.2055318
after_careful_mock,39,3.2051082
after_careful_mock,40,3.2063954
