version,run_number,test_name,test_path,phase,duration_sec,total_test_time
before,1,test_boundary_forcing_data_consistency_plot_save,roms_tools/tests/test_setup/test_boundary_forcing.py::test_boundary_forcing_data_consistency_plot_save,call,152.48,335.41
before,1,test_bgc_boundary_forcing_data_consistency_plot_save,roms_tools/tests/test_setup/test_boundary_forcing.py::test_bgc_boundary_forcing_data_consistency_plot_save,call,86.19,335.41
before,1,test_initial_conditions_data_consistency_plot_save,roms_tools/tests/test_setup/test_initial_conditions.py::test_initial_conditions_data_consistency_plot_save,call,81.93,335.41
before,1,test_initial_conditions_data_consistency_plot_save,roms_tools/tests/test_setup/test_initial_conditions.py::test_initial_conditions_data_consistency_plot_save,setup,7.57,335.41
before,1,test_successful_initialization_with_regional_data[grid_that_straddles_dateline],roms_tools/tests/test_setup/test_surface_forcing.py::test_successful_initialization_with_regional_data[grid_that_straddles_dateline],call,4.28,335.41
before,1,test_bgc_boundary_forcing_data_consistency_plot_save,roms_tools/tests/test_setup/test_boundary_forcing.py::test_bgc_boundary_forcing_data_consistency_plot_save,setup,1.3,335.41
before,1,test_boundary_forcing_data_consistency_plot_save,roms_tools/tests/test_setup/test_boundary_forcing.py::test_boundary_forcing_data_consistency_plot_save,setup,0.42,335.41
after_careful_mock,1,test_initial_conditions_data_consistency_plot_save,roms_tools/tests/test_setup/test_initial_conditions.py::test_initial_conditions_data_consistency_plot_save,call,108.28,275.95
after_careful_mock,1,test_bgc_boundary_forcing_data_consistency_plot_save,roms_tools/tests/test_setup/test_boundary_forcing.py::test_bgc_boundary_forcing_data_consistency_plot_save,call,78.87,275.95
after_careful_mock,1,test_boundary_forcing_data_consistency_plot_save,roms_tools/tests/test_setup/test_boundary_forcing.py::test_boundary_forcing_data_consistency_plot_save,call,75.7,275.95
after_careful_mock,1,test_initial_conditions_data_consistency_plot_save,roms_tools/tests/test_setup/test_initial_conditions.py::test_initial_conditions_data_consistency_plot_save,setup,7.54,275.95
after_careful_mock,1,test_successful_initialization_with_regional_data[grid_that_straddles_dateline],roms_tools/tests/test_setup/test_surface_forcing.py::test_successful_initialization_with_regional_data[grid_that_straddles_dateline],call,2.79,275.95
after_careful_mock,1,test_bgc_boundary_forcing_data_consistency_plot_save,roms_tools/tests/test_setup/test_boundary_forcing.py::test_bgc_boundary_forcing_data_consistency_plot_save,setup,1.36,275.95
after_careful_mock,1,test_boundary_forcing_data_consistency_plot_save,roms_tools/tests/test_setup/test_boundary_forcing.py::test_boundary_forcing_data_consistency_plot_save,setup,0.42,275.95
